Data,Ora,Prodotto,ISIN,Borsa di riferimento,Borsa,Quantità,Quotazione,,Valore locale,,Valore CHF,Tasso di cambio,Commissione AutoFX,Costi di transazione e/o di terze parti CHF,Totale CHF,ID Ordine
28-08-2026,16:13,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,SWX,XSWX,25,148.1400,USD,-3703.50,USD,-2989.48,1.2388,-7.47,-2.82,-2999.77,1cfec95c-71cf-4a45-aba9-c2a5fdbae480
28-07-2026,09:38,AMUNDI CORE STOXX EUROPE 600 UCITS ETF A,LU0908500753,TDG,XGAT,10,317.8000,EUR,-3178.00,EUR,-2961.28,1.0732,-7.40,-0.93,-2969.61,99da5abc-1f5a-4590-b801-1298abec8b6a
30-06-2026,12:39,AMUNDI CORE STOXX EUROPE 600 UCITS ETF A,LU0908500753,TDG,XGAT,20,315.8500,EUR,-6317.00,EUR,-5826.21,1.0842,-14.57,-0.92,-5841.69,2c2311f5-43b4-4d6f-b63a-b7664b96849d
30-06-2026,12:36,XTRACKERS II GLOBAL GOVERNMENT BOND UCITS 5C ETF,LU0908508731,TDG,XGAT,105,221.5700,EUR,-23264.85,EUR,-21454.98,1.0844,-53.64,,-21508.61,99d1ebab-377c-4e9a-ac34-159ade4e4347
30-06-2026,12:35,XTRACKERS II GLOBAL GOVERNMENT BOND UCITS 5C ETF,LU0908508731,TDG,XGAT,140,221.5700,EUR,-31019.80,EUR,-28609.74,1.0842,-71.52,-0.92,-28682.18,99d1ebab-377c-4e9a-ac34-159ade4e4347
30-06-2026,12:05,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,SWX,XSWX,-435,142.2800,USD,61891.80,USD,50107.85,1.2352,-125.27,-2.78,49979.80,aacd4ffb-38d8-4d8d-a994-a640adda40a0
21-05-2026,07:50,AMUNDI CORE STOXX EUROPE 600 UCITS ETF A,LU0908500753,TDG,XGAT,65,303.8500,EUR,-19750.25,EUR,-18065.66,1.0932,-45.16,-0.92,-18111.75,8cc95ba5-b64a-4c66-b289-70b0b55cdceb
03-11-2025,20:31,AMUNDI CORE STOXX EUROPE 600 UCITS ETF A,LU0908500753,TDG,XGAT,11,275.5000,EUR,-3030.50,EUR,-2819.90,1.0747,-7.05,-0.93,-2827.88,42f6ecfc-8fb8-4363-ae5e-b52455eebf02
29-09-2025,16:43,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,SWX,MSEU,30,126.2200,USD,-3786.60,USD,-3020.52,1.2536,-7.55,-2.82,-3030.89,09728f3d-342e-44e8-a45d-00fe002d251b
28-08-2025,09:31,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,SWX,XSWX,30,123.0600,USD,-3691.80,USD,-2959.04,1.2476,-7.40,-2.81,-2969.25,df49d43a-d93b-4c24-a16b-e0b61a817ad9
